objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Munchkin 3: Clerical Errors","6606","3","0","0","0","0","0","0","0","1","0","0","3","","Given to Ginny","","","","26622009","6.05667","6.45249","1.8561","0","16043","thing","Munchkin 3: Clerical Errors","3","6","90","90","90","2003","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Munchkin 4: The Need for Steed","20660","3","0","0","0","0","0","0","0","1","0","0","3","","Given to Ginny","","","","26622015","6.03921","6.53217","1.8571","0","12741","thing","Munchkin 4: The Need for Steed","3","6","90","90","90","2005","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Munchkin 5: De-Ranged","28327","3","0","0","0","0","0","0","0","1","0","0","3","","Given to Ginny","","","","26622105","5.91935","6.57992","1.8172","0","8049","thing","Munchkin 5: De-Ranged","3","6","90","90","90","2007","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Murder at Mediluck Medicines","400491","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","129727181","0","7.23571","0","0","45","thing","Murder at Mediluck Medicines","1","99","180","180","180","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder at Merivale Manor","400492","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129727225","0","8.06897","0","0","83","thing","Murder at Merivale Manor","1","99","180","180","180","2023","1,2,3,4","1,2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder in Market Hill","421482","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129727211","0","7.77273","0","0","44","thing","Murder in Market Hill","1","4","180","180","120","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder Mystery Cases: Death at Times Square","447790","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","140811329","0","6","0","0","8","thing","Murder Mystery Cases: Death at Times Square","1","10","180","180","120","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder Mystery in a Box: Ripper","377803","1","0","0","0","0","0","0","0","1","0","0","3","","Terrible mystery game. Gave away on FB Marketplace","","","","130454647","0","1","0","0","4","thing","Murder Mystery in a Box: Ripper","1","6","120","120","120","2020","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder of a Millionaire","356962","0","0","0","0","0","0","0","0","1","0","0","1","","","","","","102325372","5.51353","6.68","3","21423","108","thing","Murder of a Millionaire","1","99","120","120","120","2021","1,2,3,4,5","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"My Father's Work","328866","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","134560835","6.84709","7.82634","3.1429","693","7605","thing","My Father's Work","2","4","180","180","180","2022","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"My Little Scythe","226320","7","1","0","1","0","0","0","0","1","0","0","1","","","","","","56474418","6.70296","7.19929","2.0299","909","13999","thing","My Little Scythe","1","6","60","60","45","2018","1,2,3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","181304","6","0","0","0","0","0","0","0","1","0","0","3","","Sold at Uncles's $17.50 Store credit","","","","42793127","7.04849","7.19056","1.8899","447","83950","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium: Hidden Signs","192661","6","0","0","0","0","0","0","0","1","0","0","3","","Sold at Uncles's","","","","42793131","6.7499","7.74059","1.7317","0","14032","thing","Mysterium: Hidden Signs","2","7","42","42","42","2016","3,4,5,6,7","5,6,7","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Mystery at the Fairytale Ball","402384","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127234136","0","7.16667","0","0","10","thing","Mystery at the Fairytale Ball","1","4","180","180","120","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mythos Tales","126100","9","8","0","0","0","0","0","0","1","0","0","1","","Sold on bgg","","","","71206268","6.4264","7.33679","2.125","1507","6232","thing","Mythos Tales","1","10","120","120","60","2016","1,2,3,4,5","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Near and Far","195421","0","0","0","0","0","0","0","1","0","0","1","5","TTS Only","","","","","68464111","7.22863","7.63876","2.9035","280","23069","thing","Near and Far","2","4","120","120","90","2017","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemesis","167355","9","8","0","0","0","0","0","1","0","0","1","5","","","","","","68776464","7.95004","8.24991","3.4874","25","50577","thing","Nemesis","1","5","180","180","90","2018","1,2,3,4,5","4,5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemesis: Lockdown","310100","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129262187","7.5169","8.24728","3.9128","129","19906","thing","Nemesis: Lockdown","1","5","180","180","90","2022","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemesis: Retaliation","381248","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","144412499","6.99609","8.70061","3.7647","508","7950","thing","Nemesis: Retaliation","1","5","180","180","120","2025","1,2,3,4,5","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"New Angeles","205716","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","56472293","6.39122","7.05134","3.2212","1603","6259","thing","New Angeles","4","6","240","240","120","2016","4,5,6","6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"New York Noir","418459","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","141411030","0","9.80952","3","0","11","thing","New York Noir","1","4","360","360","90","2024","1","1","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"NOIR: Deductive Mystery Game","102148","5","4","0","0","0","0","0","0","0","0","0","3","","","","","","137961472","5.86746","6.40769","1.5821","4130","3517","thing","NOIR: Deductive Mystery Game","2","9","60","60","15","2012","2,3,4,5,6","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Oathsworn: Into the Deepwood","251661","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","137285702","7.72782","8.76581","3.6947","63","12913","thing","Oathsworn: Into the Deepwood","1","4","90","90","30","2022","1,2,3,4","2,4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Obsession","231733","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","93034355","7.71961","8.0804","3.1106","66","25562","thing","Obsession","1","4","90","90","30","2018","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Old and Hidden Secret","328168","6","3","0","0","0","0","0","0","1","0","0","3","","Given to Emma.

Roaring 20s theme. Typical DMS mechanics of eliminate suspect. Some fun puzzles, some tedious puzzles.","","","","127234140","0","6.34545","0","0","39","thing","The Old and Hidden Secret","1","6","240","240","45","2020","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Oltréé","293835","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132543179","6.44236","7.46163","2.25","1459","5612","thing","Oltréé","2","4","60","60","60","2021","1,2,3,4","2,4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Once Upon a Time: The Storytelling Card Game","1234","2","0","0","0","0","0","0","0","1","0","0","1","","Given to Jeff Mendoza","","","","47584673","6.12707","6.35247","1.3716","2523","18532","thing","Once Upon a Time: The Storytelling Card Game","2","6","30","30","30","1993","3,4,5,6","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Othello","2389","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493829","5.95674","6.15885","2.0728","3439","16297","thing","Othello","2","2","30","30","30","1883","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic","30549","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","42194468","7.40415","7.51356","2.3941","171","225683","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","52166817","8.3463","8.50259","2.8278","3","89308","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: Hot Zone – Europe","329670","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","126472600","5.96825","7.04248","2","3373","4736","thing","Pandemic: Hot Zone – Europe","2","4","30","30","30","2021","1,2,3","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"PARKS","266524","6","2","0","0","0","0","0","1","0","0","1","4","","","","","","71130291","7.39659","7.61609","2.1242","176","53649","thing","PARKS","1","5","60","60","30","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"PARKS","266524","0","2","0","0","0","1","0","0","0","0","0","3","","","","","","130922289","7.39659","7.61609","2.1242","176","53649","thing","PARKS","1","5","60","60","30","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Parks (Second Edition)","437306","0","0","0","0","0","1","1","0","0","0","0","3","","","","","","130389553","6.44806","7.93133","2.3095","1449","4124","thing","Parks (Second Edition)","1","5","60","60","30","2025","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Passengers","338902","0","0","0","1","0","0","0","0","0","0","0","3","","Little Shop of Magic Mystery Bag Dice Tower West 2026","","","","143481708","5.53872","6.29984","1.9","14855","571","thing","Passengers","4","8","50","50","30","2023","5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Core Set","271060","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130653606","6.15625","7.63793","3.0303","2388","3465","thing","Pathfinder Adventure Card Game: Core Set","1","4","90","90","90","2019","1,2,3,4","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Perspectives","400995","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","129760937","6.2287","7.65387","1.8077","2116","2824","thing","Perspectives","2","6","90","90","60","2023","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Perspectives Blue","427087","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129760902","5.75114","7.62944","1.5","5413","1016","thing","Perspectives Blue","2","6","90","90","90","2024","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
